Symbol,Name,Exchange,Latest,Sector,Industry,"9M %Chg"
HWM,"Howmet Aerospace Inc",NYSE,274.99,Aerospace,"Aerospace - Defense",+41.89%
IBKR,"Interactive Brokers",NASDAQ,96.83,Finance,"Finance - Investment Brokers",+38.30%
IBM,"Intl Business Machines",NYSE,213.56,"Computers and Technology","Computer - Integrated Systems",-24.09%
ICE,"Intercontinental Exchange",NYSE,139.64,Finance,"Securities Exchanges",-11.17%
IDXX,"Idexx Laboratories",NASDAQ,565.76,Medical,"Medical Instruments",-11.63%
IEX,"Idex Corp",NYSE,222.59,"Industrial Products","Machinery - General Industrial",+35.39%
IFF,"International Flavors & Fragrances",NYSE,74.9,"Basic Materials","Chemical - Specialty",+21.06%
INCY,"Incyte Corp",NASDAQ,115.18,Medical,"Medical - Biomedical",+30.82%
INTC,"Intel Corp",NASDAQ,101.81,"Computers and Technology","Semi General",+171.05%
INTU,"Intuit Inc",NASDAQ,279.92,"Computers and Technology","Computer - Software",-56.88%
INVH,"Invitation Homes Inc",NYSE,29.91,Finance,"REIT - Equity Trust Resident",+5.45%
IP,"International Paper Company",NYSE,36.92,"Basic Materials","Paper & Related Products",-21.64%
IQV,"Iqvia Holdings Inc",NYSE,208.77,Medical,"Medical Instruments",+2.62%
IR,"Ingersoll Rand Inc",NYSE,78.98,"Industrial Products","Machinery - General Industrial",+2.29%
IRM,"Iron Mountain Inc",NYSE,121.64,"Business Services","Business Information",+14.21%
ISRG,"Intuitive Surg Inc",NASDAQ,390.47,Medical,"Medical Instruments",-10.26%
IT,"Gartner Inc",NYSE,134.95,"Business Services",Consulting,-42.88%
ITW,"Illinois Tool Works",NYSE,270.76,"Industrial Products","Machinery - General Industrial",+9.02%
IVZ,"Invesco Limited",NYSE,30.09,Finance,"Finance - Investment Mgmt",+28.22%
J,"Jacobs Engineering Group",NYSE,130.95,Construction,"Building & Construction - Misc",-18.68%
JBHT,"J B Hunt Transport",NASDAQ,276.86,Transportation,"Transportation - Truck",+98.43%
JBL,"Jabil Circuit",NYSE,318.83,"Computers and Technology","Electronic Manufacturing",+53.12%
JCI,"Johnson Controls Intl",NYSE,141.55,Construction,"Building Products - Wood",+26.59%
JKHY,"Jack Henry & Assoc",NASDAQ,148.5,"Computers and Technology","IT Services",-3.48%
JNJ,"Johnson & Johnson",NYSE,248.25,Medical,"Large Cap Pharma",+31.35%
JPM,"JP Morgan Chase & Company",NYSE,347.51,Finance,"Finance - Investment Brokers",+13.67%
KDP,"Keurig Dr Pepper Inc",NASDAQ,30.54,"Consumer Staples","Beverages - Soft",+13.48%
KEY,Keycorp,NYSE,23.59,Finance,"Banks - Major Regional",+32.71%
KEYS,"Keysight Technologies",NYSE,321.53,"Computers and Technology","Electronics - Measuring Inst",+93.35%
KHC,"Kraft Heinz Company",NASDAQ,25.31,"Consumer Staples","Food - Misc & Diversified",+0.67%
KIM,"Kimco Realty Corp",NYSE,25.18,Finance,"REIT - Equity Trust Retail",+16.08%
KKR,"KKR & Company LP",NYSE,101.38,Finance,"Finance - Investment Mgmt",-17.84%
KLAC,"K L A-Tencor Corp",NASDAQ,221.3,"Computers and Technology","Electronics Products - Misc",+101.39%
KMB,"Kimberly-Clark Corp",NASDAQ,107.36,"Consumer Staples","Consumer Prdts - Misc Staple",-10.39%
KMI,"Kinder Morgan Inc",NYSE,32.2,Oils-Energy,"Oil - Production & Pipeline",+16.97%
KO,"Coca-Cola Company",NYSE,83.04,"Consumer Staples","Beverages - Soft",+23.74%
KR,"Kroger Company",NYSE,57.56,Retail-Wholesale,"Retail - Supermarket",-16.03%
